[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Fabric_2"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Fabric_5"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_0"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	INFO    | +		 Loading new OBJ file
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	SUCCESS | Opened file "Assets/scifi_03.obj"
[15:08:01]	SUCCESS | Opened file "Assets/scifi_03.mtl"
[15:08:01]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Floor2_1K_albedo.png"
[15:08:01]	SUCCESS | Opened file "Assets/scifi_03.mtl"
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_1"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_2"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_3"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_4"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_5"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	INFO    | + Loading Game Object "SCIFI_Floor_0"
[15:08:01]	INFO    | +	 Adding transform data to new gameObject
[15:08:01]	INFO    | +	 Adding Model to new gameObject
[15:08:01]	INFO    | +		 Loading new OBJ file
[15:08:01]	        |
[15:08:01]	        |------------------------------------------------------------------------
[15:08:01]	        |
[15:08:01]	SUCCESS | Opened file "Assets/scifi_04.obj"
[15:08:01]	SUCCESS | Opened file "Assets/scifi_04.mtl"
[15:08:01]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Floor4_1K_albedo.png"
[15:08:02]	SUCCESS | Opened file "Assets/scifi_04.mtl"
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Floor_1"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Floor_2"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Floor_3"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
